,Date,Week,Profit,Profit(W),Profit(L),NumTrade,NumTrade(W),NumTrade(L),WinRate,ProfAve,ProfAve(W),ProfAve(L),Profit(Max),NumTrade(Max),Date(Datetime),Before type,Expansion type,After type,Expn lineage
297,2011.02.22,Tue,1.9,1.9,0.0,1,1,0,1.0,1.9,1.9,0.0,1.9,1105,2011-02-22,range,range,squeeze,range
298,2011.02.23,Wed,23.7,23.7,0.0,2,2,0,1.0,11.85,11.85,0.0,23.5,1107,2011-02-23,squeeze,range,squeeze,range
299,2011.02.24,Thu,-7.400000000000006,39.0,-46.400000000000006,4,1,3,0.25,-1.8500000000000014,39.0,-15.466666666666669,39.0,1111,2011-02-24,squeeze,range,range,range
300,2011.02.25,Fri,1.4999999999999973,37.0,-35.5,4,1,3,0.25,0.37499999999999933,37.0,-11.833333333333334,37.0,1114,2011-02-25,range,expansion,range,expansion
301,2011.02.28,Mon,67.0,67.0,0.0,1,1,0,1.0,67.0,67.0,0.0,67.0,1116,2011-02-28,range,expn range,squeeze,expn range
302,2011.03.01,Tue,-36.7,26.1,-62.8,7,2,5,0.2857142857142857,-5.242857142857143,13.05,-12.559999999999999,24.3,1123,2011-03-01,squeeze,expansion,trend,expansion
303,2011.03.02,Wed,43.3,54.6,-11.3,2,1,1,0.5,21.65,54.6,-11.3,54.6,1124,2011-03-02,trend,expansion,squeeze,expansion
304,2011.03.03,Thu,-2.0,64.8,-66.8,9,1,8,0.1111111111111111,-0.2222222222222222,64.8,-8.35,64.8,1134,2011-03-03,squeeze,range expn,squeeze,expansion
305,2011.03.04,Fri,-31.900000000000002,8.2,-40.1,7,1,6,0.14285714285714285,-4.557142857142858,8.2,-6.683333333333334,8.2,1141,2011-03-04,squeeze,range,squeeze,range
306,2011.03.07,Mon,-31.8,27.9,-59.7,7,1,6,0.14285714285714285,-4.542857142857143,27.9,-9.950000000000001,27.9,1147,2011-03-07,squeeze,expn range,range,expn range
307,2011.03.08,Tue,62.6,62.6,0.0,1,1,0,1.0,62.6,62.6,0.0,62.6,1149,2011-03-08,range,expn range,squeeze,expn range
308,2011.03.09,Wed,-56.89999999999999,6.5,-63.39999999999999,7,1,6,0.14285714285714285,-8.128571428571428,6.5,-10.566666666666665,6.5,1156,2011-03-09,squeeze,range,range,range
309,2011.03.10,Thu,58.7,58.7,0.0,2,2,0,1.0,29.35,29.35,0.0,45.2,1157,2011-03-10,range,expansion,range,expansion
310,2011.03.11,Fri,-46.7,10.2,-56.9,5,1,4,0.2,-9.34,10.2,-14.225,10.2,1163,2011-03-11,range,range expn,squeeze,expansion
311,2011.03.14,Mon,16.0,16.0,0.0,1,1,0,1.0,16.0,16.0,0.0,16.0,1164,2011-03-14,squeeze,range,range,range
312,2011.03.15,Tue,24.3,24.3,0.0,2,2,0,1.0,12.15,12.15,0.0,14.4,1166,2011-03-15,range,expn inverse range,squeeze,expn range
313,2011.03.16,Wed,-16.900000000000002,7.2,-24.1,2,1,1,0.5,-8.450000000000001,7.2,-24.1,7.2,1168,2011-03-16,squeeze,range,range,range
314,2011.03.17,Thu,35.2,68.9,-33.7,3,1,2,0.3333333333333333,11.733333333333334,68.9,-16.85,68.9,1170,2011-03-17,range,expn expn,range,expansion
315,2011.03.18,Fri,65.5,65.5,0.0,1,1,0,1.0,65.5,65.5,0.0,65.5,1172,2011-03-18,range,expansion,squeeze,expansion
316,2011.03.21,Mon,-12.799999999999997,40.5,-53.3,6,1,5,0.16666666666666666,-2.133333333333333,40.5,-10.66,40.5,1178,2011-03-21,squeeze,range expn,squeeze,expansion
317,2011.03.22,Tue,39.9,39.9,0.0,3,3,0,1.0,13.299999999999999,13.299999999999999,0.0,30.8,1181,2011-03-22,squeeze,expn range expn,range,expn range
318,2011.03.23,Wed,9.0,41.2,-32.2,3,1,2,0.3333333333333333,3.0,41.2,-16.1,41.2,1184,2011-03-23,range,expansion,range,expansion
319,2011.03.24,Thu,-8.5,3.0,-11.5,3,1,1,0.3333333333333333,-2.8333333333333335,3.0,-11.5,3.0,1186,2011-03-24,range,expansion,squeeze,expansion
320,2011.03.25,Fri,-30.3,17.8,-48.1,5,1,4,0.2,-6.0600000000000005,17.8,-12.025,17.8,1192,2011-03-25,squeeze,expn range expn,range,expn range
321,2011.03.28,Mon,-34.2,17.5,-51.7,3,1,2,0.3333333333333333,-11.4,17.5,-25.85,17.5,1195,2011-03-28,range,range,range,range
322,2011.03.29,Tue,-17.9,20.6,-38.5,3,1,2,0.3333333333333333,-5.966666666666666,20.6,-19.25,20.6,1196,2011-03-29,range,range,range,range
323,2011.03.30,Wed,-89.60000000000001,16.3,-105.9,8,1,7,0.125,-11.200000000000001,16.3,-15.12857142857143,16.3,1206,2011-03-30,range,range,squeeze,range
324,2011.03.31,Thu,29.1,70.3,-41.2,3,1,2,0.3333333333333333,9.700000000000001,70.3,-20.6,70.3,1207,2011-03-31,squeeze,expn range,squeeze,expn range
